;
; ###########################################################################################################
; # CODE SUIVANT EST CHARGE pour le LEVEL 4 $7700=>$96FF (deux tracks A&B directement depuis la disquette) !
; ###########################################################################################################
;7700:4C 36 77    JMP $7736
7703:6C 00 13    JMP ($1300)
7706:6C 02 13    JMP ($1302)
7709:6C 04 13    JMP ($1304)
770C:6C 10 13    JMP ($1310)
770F:6C 12 13    JMP ($1312)
7712:6C 18 13    JMP ($1318)
7715:6C 1A 13    JMP ($131A)
7718:6C 1C 13    JMP ($131C)
771B:6C 1E 13    JMP ($131E)
771E:6C 20 13    JMP ($1320)
7721:6C 24 13    JMP ($1324)
7724:6C 28 13    JMP ($1328)
7727:6C 2A 13    JMP ($132A)
772A:6C 2C 13    JMP ($132C)
772D:6C 40 13    JMP ($1340)
7730:6C 42 13    JMP ($1342)
7733:6C 44 13    JMP ($1344)
7736:A5 33       LDA $33
7738:F0 04       BEQ $773E
773A:20 9A 7B    JSR $7B9A
773D:60          RTS
773E:20 EC 78    JSR $78EC
7741:20 C5 7A    JSR $7AC5
7744:20 4E 77    JSR $774E
7747:20 00 79    JSR $7900
774A:20 2A 7A    JSR $7A2A
774D:60          RTS
774E:A5 2D       LDA $2D
7750:05 2C       ORA $2C
7752:D0 18       BNE $776C
7754:A2 00       LDX #$00
7756:A5 46       LDA $46
7758:C9 01       CMP #$01
775A:F0 02       BEQ $775E
775C:A2 04       LDX #$04
775E:D6 A6       DEC $A6,X
7760:B5 A6       LDA $A6,X
7762:15 A5       ORA $A5,X
7764:15 A4       ORA $A4,X
7766:15 A3       ORA $A3,X
7768:D0 02       BNE $776C
776A:F6 A6       INC $A6,X
776C:AD D0 7C    LDA $7CD0
776F:F0 23       BEQ $7794
7771:EE D0 7C    INC $7CD0
7774:AD D0 7C    LDA $7CD0
7777:C9 04       CMP #$04
7779:B0 06       BCS $7781
777B:20 A1 7C    JSR $7CA1
777E:4C 94 77    JMP $7794
7781:C9 0E       CMP #$0E
7783:B0 0A       BCS $778F
7785:C9 0C       CMP #$0C
7787:90 0B       BCC $7794
7789:20 B6 7C    JSR $7CB6
778C:4C 94 77    JMP $7794
778F:A9 00       LDA #$00
7791:8D D0 7C    STA $7CD0
7794:A9 B4       LDA #$B4
7796:85 80       STA $80
7798:A9 80       LDA #$80
779A:85 81       STA $81
779C:20 12 77    JSR $7712
779F:A9 9B       LDA #$9B
77A1:85 DC       STA $DC
77A3:A2 2A       LDX #$2A
77A5:20 09 77    JSR $7709
77A8:20 18 77    JSR $7718
77AB:A5 27       LDA $27
77AD:4A          LSR
77AE:4A          LSR
77AF:90 07       BCC $77B8
77B1:A9 50       LDA #$50
77B3:A0 80       LDY #$80
77B5:4C BC 77    JMP $77BC
77B8:A9 82       LDA #$82
77BA:A0 80       LDY #$80
77BC:85 80       STA $80
77BE:84 81       STY $81
77C0:20 12 77    JSR $7712
77C3:A9 A3       LDA #$A3
77C5:85 DC       STA $DC
77C7:A2 31       LDX #$31
77C9:20 09 77    JSR $7709
77CC:20 18 77    JSR $7718
77CF:A5 2D       LDA $2D
77D1:D0 3F       BNE $7812
77D3:A5 2C       LDA $2C
77D5:F0 01       BEQ $77D8
77D7:60          RTS
77D8:A5 18       LDA $18
77DA:F0 FB       BEQ $77D7
77DC:A5 DF       LDA $DF
77DE:D0 F7       BNE $77D7
77E0:A9 A9       LDA #$A9
77E2:85 84       STA $84
77E4:A9 13       LDA #$13
77E6:85 85       STA $85
77E8:A9 00       LDA #$00
77EA:85 C3       STA $C3
77EC:AD A1 13    LDA $13A1
77EF:A0 01       LDY #$01
77F1:38          SEC
77F2:F1 84       SBC ($84),Y
77F4:10 10       BPL $7806
77F6:C9 FD       CMP #$FD
77F8:B0 10       BCS $780A
77FA:A5 C3       LDA $C3
77FC:D0 D9       BNE $77D7
77FE:20 0F 77    JSR $770F
7801:E6 C3       INC $C3
7803:4C EC 77    JMP $77EC
7806:C9 03       CMP #$03
7808:B0 F0       BCS $77FA
780A:E6 DF       INC $DF
780C:B1 84       LDA ($84),Y
780E:8D CE 7C    STA $7CCE
7811:60          RTS
7812:AD 7C 7C    LDA $7C7C
7815:D0 10       BNE $7827
7817:A9 A3       LDA #$A3
7819:85 80       STA $80
781B:A9 78       LDA #$78
781D:85 81       STA $81
781F:20 33 77    JSR $7733
7822:A9 FF       LDA #$FF
7824:8D 7C 7C    STA $7C7C
7827:A9 50       LDA #$50
7829:85 80       STA $80
782B:A9 18       LDA #$18
782D:85 81       STA $81
782F:AC DA 78    LDY $78DA
7832:B9 DB 78    LDA $78DB,Y
7835:C9 FF       CMP #$FF
7837:D0 03       BNE $783C
7839:4C 7C 78    JMP $787C
783C:0A          ASL
783D:A8          TAY
783E:B1 80       LDA ($80),Y
7840:85 E8       STA $E8
7842:C8          INY
7843:B1 80       LDA ($80),Y
7845:85 E9       STA $E9
7847:A9 08       LDA #$08
7849:85 4A       STA $4A
784B:AD DA 78    LDA $78DA
784E:18          CLC
784F:69 0F       ADC #$0F
7851:85 E5       STA $E5
7853:A9 46       LDA #$46
7855:85 DC       STA $DC
7857:A2 00       LDX #$00
7859:A4 DC       LDY $DC
785B:20 03 77    JSR $7703
785E:A4 E5       LDY $E5
7860:A1 E8       LDA ($E8,X)
7862:91 4C       STA ($4C),Y
7864:E6 E8       INC $E8
7866:D0 02       BNE $786A
7868:E6 E9       INC $E9
786A:E6 DC       INC $DC
786C:C6 4A       DEC $4A
786E:D0 E9       BNE $7859
7870:EE EB 78    INC $78EB
