Symbole ,Key to Press            ,Code ASCII (Hex) ,HEX + 128 (0x80) ,Décimal (Dec) ,Code Binaire ,Couleur GR    ,Couleur HGR ,Description (FR)
"NUL"   ,"Ctrl-@"                ,"0x00"           ,"0x80"           ,            0 ,"00000000"   ,"Black"       ,"Black"     ,"Caractère nul"
"SOH"   ,"Ctrl-A"                ,"0x01"           ,"0x81"           ,            1 ,"00000001"   ,"Magenta"     ,"Green"     ,"Début d'en-tête"
"STX"   ,"Ctrl-B"                ,"0x02"           ,"0x82"           ,            2 ,"00000010"   ,"Dark Blue"   ,"Purple"    ,"Début de transmission"
"ETX"   ,"Ctrl-C"                ,"0x03"           ,"0x83"           ,            3 ,"00000011"   ,"Purple"      ,"Orange"    ,"Fin de texte"
"EOT"   ,"Ctrl-D"                ,"0x04"           ,"0x84"           ,            4 ,"00000100"   ,"Dark Green"  ,"Blue"      ,"Fin de transmission"
"ENQ"   ,"Ctrl-E"                ,"0x05"           ,"0x85"           ,            5 ,"00000101"   ,"Gray1"       ,"White"     ,"Demande"
"ACK"   ,"Ctrl-F"                ,"0x06"           ,"0x86"           ,            6 ,"00000110"   ,"Medium Blue" ,"Black"     ,"Accusé de réception"
"BEL"   ,"Ctrl-G"                ,"0x07"           ,"0x87"           ,            7 ,"00000111"   ,"Light Blue"  ,"White"     ,"Sonnerie"
"BS"    ,"Left-arrow ou Ctrl-H"  ,"0x08"           ,"0x88"           ,            8 ,"00001000"   ,"Brown"       ,"Black"     ,"Retour arrière"
"HT"    ,"Tab ou Ctrl-I"         ,"0x09"           ,"0x89"           ,            9 ,"00001001"   ,"Orange"      ,"Green"     ,"Tabulation horizontale"
"LF"    ,"Down-arrow ou Ctrl-J"  ,"0x0A"           ,"0x8A"           ,           10 ,"00001010"   ,"Gray2"       ,"Purple"    ,"Saut de ligne"
"VT"    ,"Up-arrow ou Ctrl-K"    ,"0x0B"           ,"0x8B"           ,           11 ,"00001011"   ,"Pink"        ,"Orange"    ,"Tabulation verticale"
"FF"    ,"Ctrl-L"                ,"0x0C"           ,"0x8C"           ,           12 ,"00001100"   ,"Light Green" ,"Blue"      ,"Saut de page"
"CR"    ,"Return ou Ctrl-M"      ,"0x0D"           ,"0x8D"           ,           13 ,"00001101"   ,"Yellow"      ,"White"     ,"Retour chariot"
"SO"    ,"Ctrl-N"                ,"0x0E"           ,"0x8E"           ,           14 ,"00001110"   ,"Aqua"        ,"Black"     ,"Hors code"
"SI"    ,"Ctrl-O"                ,"0x0F"           ,"0x8F"           ,           15 ,"00001111"   ,"White"       ,"White"     ,"En code"
"DLE"   ,"Ctrl-P"                ,"0x10"           ,"0x90"           ,           16 ,"00010000"   ,"Black"       ,"Black"     ,"Échappement transmission"
"DC1"   ,"Ctrl-Q"                ,"0x11"           ,"0x91"           ,           17 ,"00010001"   ,"Magenta"     ,"Green"     ,"Contrôle périphérique 1"
"DC2"   ,"Ctrl-R"                ,"0x12"           ,"0x92"           ,           18 ,"00010010"   ,"Dark Blue"   ,"Purple"    ,"Contrôle périphérique 2"
"DC3"   ,"Ctrl-S"                ,"0x13"           ,"0x93"           ,           19 ,"00010011"   ,"Purple"      ,"Orange"    ,"Contrôle périphérique 3"
"DC4"   ,"Ctrl-T"                ,"0x14"           ,"0x94"           ,           20 ,"00010100"   ,"Dark Green"  ,"Blue"      ,"Contrôle périphérique 4"
"NAK"   ,"Right-arrow ou Ctrl-U" ,"0x15"           ,"0x95"           ,           21 ,"00010101"   ,"Gray1"       ,"White"     ,"Accusé réception négatif"
"SYN"   ,"Ctrl-V"                ,"0x16"           ,"0x96"           ,           22 ,"00010110"   ,"Medium Blue" ,"Black"     ,"Synchronisation"
"ETB"   ,"Ctrl-W"                ,"0x17"           ,"0x97"           ,           23 ,"00010111"   ,"Light Blue"  ,"White"     ,"Fin de bloc transmission"
"CAN"   ,"Ctrl-X"                ,"0x18"           ,"0x98"           ,           24 ,"00011000"   ,"Brown"       ,"Black"     ,"Annulation"
